case_id,complaint_category,complaint,officer_name,officer_id,speaking_order,bank_name,resolution_status
CMS_2026_015,Loan Recovery Harassment,"My loan EMI was delayed by two weeks due to a medical emergency. The bank's recovery agents are calling me at 11 PM, sending abusive messages on WhatsApp, and harassing my family members, violating RBI recovery agent guidelines.",Mr. Rajesh Malhotra,OFF_105,The bank provided call logs proving calls were made during standard hours (8 AM to 7 PM). No evidence of abusive language. Complaint dismissed.,Bank_02,Dismissed
CMS_2026_016,Mis-selling of Financial Products,"The bank relationship manager forced me to buy a credit life insurance policy of Rs. 249,210 as a condition for approving my home loan on 18-February-2026. They said the loan would not be sanctioned without it. This is tied-selling and against RBI rules.",Ms. Ananya Rao,OFF_102,The customer signed a separate consent form opting for the insurance coverage. No proof of coercion is found. Complaint dismissed.,Bank_03,Dismissed
CMS_2026_017,Loan Recovery Harassment,"The recovery team of the bank seized my vehicle on 12-April-2026 without giving the mandatory 14 days pre-possession notice. They also demanded Rs. 171,361 as recovery charges to release the vehicle.",Mr. Suresh Kumar,OFF_101,"The repossession was done without following due process and without adequate notice. The bank is directed to return the vehicle, waive the recovery charges of Rs. 171,361, and pay Rs. 20,000 as compensation.",Bank_05,Allowed
CMS_2026_018,Unauthorized Electronic Transaction,"My debit card was cloned and cash amounting to Rs. 146,207 was withdrawn at an ATM on 08-May-2026 while the card was in my physical possession. I immediately reported it, but the bank claims the card PIN was used and therefore they are not liable.",Mr. Suresh Kumar,OFF_101,"The Ombudsman noted that the ATM video footage showed a third party using a cloned card, and the customer reported within 2 days. The bank is directed to credit back Rs. 146,207 to the customer's account.",Bank_06,Allowed
CMS_2026_019,Unauthorized Electronic Transaction,"My debit card was cloned and cash amounting to Rs. 63,391 was withdrawn at an ATM on 09-April-2026 while the card was in my physical possession. I immediately reported it, but the bank claims the card PIN was used and therefore they are not liable.",Ms. Ananya Rao,OFF_102,The bank provided evidence that the transactions were validated with chip-and-PIN technology. The customer failed to establish that the compromise occurred due to bank's negligence. Complaint dismissed.,Bank_01,Dismissed
CMS_2026_020,Credit Card Overcharging,"I was charged Rs. 25,726 as an annual fee on my credit card on 04-April-2026, despite being promised a lifetime free card. The customer care executive is refusing to reverse it, saying the offer has expired.",Mr. Suresh Kumar,OFF_101,"The card terms state that the annual fee is waived only if annual spend exceeds Rs. 1,00,000. The complainant's spend was lower. Complaint dismissed.",Bank_08,Dismissed
CMS_2026_021,Credit Card Overcharging,"My credit card bill dated 26-January-2026 shows a charge of Rs. 89,946 for a transaction I never made. I reported the dispute, but the bank has charged me interest and late payment fees on this disputed amount.",Ms. Fatima Sheikh,OFF_104,"As per RBI rules, disputed credit card transactions must not be charged interest while investigation is pending. The bank is directed to reverse Rs. 89,946 and all interest and fees.",Bank_02,Allowed
CMS_2026_022,Mis-selling of Financial Products,"I went to Bank_03 to renew my Fixed Deposit of Rs. 230,241 for 4 years. The executive tricked me into signing a policy document, claiming it was a tax-saving FD. Later, I realized it is a ULIP with an annual premium obligation of Rs. 230,241. I want my premium refunded.",Mr. Rajesh Malhotra,OFF_105,The bank submitted the signed key feature document indicating the customer consented to the insurance plan. No evidence of misrepresentation. Complaint dismissed.,Bank_03,Dismissed
CMS_2026_023,Mis-selling of Financial Products,"I went to Bank_01 to renew my Fixed Deposit of Rs. 107,539 for 9 years. The executive tricked me into signing a policy document, claiming it was a tax-saving FD. Later, I realized it is a ULIP with an annual premium obligation of Rs. 107,539. I want my premium refunded.",Mr. Suresh Kumar,OFF_101,"Evidence shows the customer is a senior citizen and the product sold is highly unsuitable. The bank is directed to cancel the policy and refund the premium of Rs. 107,539 in full without any surrender charges.",Bank_01,Allowed
CMS_2026_024,Loan Recovery Harassment,"Even after I settled my personal loan account in full and obtained a No Dues Certificate from Bank_07, recovery agents visited my office on 14-May-2026 demanding further payments of Rs. 75,776 as pending interest.",Ms. Ananya Rao,OFF_102,"The bank failed to update its system post-settlement. The bank is directed to immediately cease recovery efforts, issue a formal apology letter, and pay Rs. 15,000 for reputational damage.",Bank_07,Allowed
CMS_2026_025,Unauthorized Electronic Transaction,"My debit card was cloned and cash amounting to Rs. 16,979 was withdrawn at an ATM on 24-March-2026 while the card was in my physical possession. I immediately reported it, but the bank claims the card PIN was used and therefore they are not liable.",Mr. Rajesh Malhotra,OFF_105,The bank provided evidence that the transactions were validated with chip-and-PIN technology. The customer failed to establish that the compromise occurred due to bank's negligence. Complaint dismissed.,Bank_01,Dismissed
CMS_2026_026,Mis-selling of Financial Products,"I was sold a high-risk mutual fund with a lump sum investment of Rs. 22,000 by the bank relationship manager, who promised guaranteed returns of 15% per annum. The portfolio value has dropped, and I have lost my principal. This is mis-selling.",Ms. Fatima Sheikh,OFF_104,Mutual fund investments are subject to market risks. The customer signed the risk disclosure documents. No service deficiency established. Complaint dismissed.,Bank_03,Dismissed
CMS_2026_027,Pension & Account Maintenance Issues,My pension payment for the month of January 2026 has been delayed by the bank. I am a retired government employee and depend on this pension. The bank staff is giving excuses.,Mr. Rajesh Malhotra,OFF_105,"The delay was due to late receipt of the pension scroll from the government treasury department, not the bank. Complaint dismissed.",Bank_02,Dismissed
CMS_2026_028,Loan Recovery Harassment,"My loan EMI was delayed by two weeks due to a medical emergency. The bank's recovery agents are calling me at 11 PM, sending abusive messages on WhatsApp, and harassing my family members, violating RBI recovery agent guidelines.",Mr. David D'Souza,OFF_103,The bank provided call logs proving calls were made during standard hours (8 AM to 7 PM). No evidence of abusive language. Complaint dismissed.,Bank_06,Dismissed
CMS_2026_029,Loan Recovery Harassment,"My loan EMI was delayed by two weeks due to a medical emergency. The bank's recovery agents are calling me at 11 PM, sending abusive messages on WhatsApp, and harassing my family members, violating RBI recovery agent guidelines.",Mr. Rajesh Malhotra,OFF_105,"The bank's recovery agents violated RBI guidelines on calling hours and harassment. The bank is directed to pay Rs. 4,400 to the complainant as compensation and issue a warning to the collection agency.",Bank_08,Allowed
CMS_2026_030,Loan Recovery Harassment,"Even after I settled my personal loan account in full and obtained a No Dues Certificate from Bank_05, recovery agents visited my office on 03-February-2026 demanding further payments of Rs. 231,913 as pending interest.",Mr. David D'Souza,OFF_103,"The settlement payment was defaulted on, resulting in the cancellation of the settlement agreement. The bank's recovery actions are legally valid. Complaint dismissed.",Bank_05,Dismissed
CMS_2026_031,Pension & Account Maintenance Issues,My pension payment for the month of May 2026 has been delayed by the bank. I am a retired government employee and depend on this pension. The bank staff is giving excuses.,Mr. Suresh Kumar,OFF_101,"As per RBI circulars on pension disbursement, delayed pensions attract an interest of 8% per annum. The bank is directed to pay the pension along with Rs. 6,400 as interest for the delay.",Bank_10,Allowed
CMS_2026_032,Pension & Account Maintenance Issues,"My savings account was frozen by Bank_09 on 07-March-2026 without any prior notice. I cannot withdraw money for my basic needs. The bank manager says they are checking KYC, but I submitted all documents last month.",Mr. Suresh Kumar,OFF_101,"The customer had submitted valid KYC documents prior to the freeze. The bank froze the account without 30 days notice. The bank is directed to unfreeze the account and pay Rs. 5,000 for service deficiency.",Bank_09,Allowed
CMS_2026_033,Loan Recovery Harassment,"My loan EMI was delayed by two weeks due to a medical emergency. The bank's recovery agents are calling me at 11 PM, sending abusive messages on WhatsApp, and harassing my family members, violating RBI recovery agent guidelines.",Mr. Rajesh Malhotra,OFF_105,The bank provided call logs proving calls were made during standard hours (8 AM to 7 PM). No evidence of abusive language. Complaint dismissed.,Bank_02,Dismissed
CMS_2026_034,Pension & Account Maintenance Issues,My pension payment for the month of February 2026 has been delayed by the bank. I am a retired government employee and depend on this pension. The bank staff is giving excuses.,Ms. Fatima Sheikh,OFF_104,"The delay was due to late receipt of the pension scroll from the government treasury department, not the bank. Complaint dismissed.",Bank_07,Dismissed
CMS_2026_035,Mis-selling of Financial Products,"The bank relationship manager forced me to buy a credit life insurance policy of Rs. 236,662 as a condition for approving my home loan on 26-January-2026. They said the loan would not be sanctioned without it. This is tied-selling and against RBI rules.",Mr. Suresh Kumar,OFF_101,"Tied-selling of insurance is prohibited under RBI guidelines. The bank is directed to refund the premium of Rs. 236,662 and decouple the insurance from the loan.",Bank_03,Allowed
CMS_2026_036,Pension & Account Maintenance Issues,"My savings account was frozen by Bank_06 on 24-February-2026 without any prior notice. I cannot withdraw money for my basic needs. The bank manager says they are checking KYC, but I submitted all documents last month.",Ms. Ananya Rao,OFF_102,The account was frozen following a cyber-police directive regarding a suspicious deposit. The bank acted in compliance with law enforcement directives. Complaint dismissed.,Bank_06,Dismissed
CMS_2026_037,Unauthorized Electronic Transaction,"I noticed unauthorized online transactions amounting to Rs. 194,085 from my savings account on 11-April-2026. I immediately blocked my card and registered a complaint with the bank, but they refused to refund the amount, claiming customer negligence in safeguarding details. I did not share any OTP or password.",Mr. Suresh Kumar,OFF_101,"The Ombudsman observed that the customer reported the unauthorized transactions within 24 hours of occurrence. As per RBI guidelines on limited liability of customers, the bank is directed to reverse the charges of Rs. 194,085 and restore the balance. No additional compensation is awarded.",Bank_07,Allowed
CMS_2026_038,Unauthorized Electronic Transaction,"On 07-April-2026, Rs. 59,309 was debited from my account through UPI. I did not initiate this payment. The UPI ID of the recipient is unknown to me. The bank is refusing to credit back the amount, saying the transaction was authenticated by my PIN.",Ms. Ananya Rao,OFF_102,"The bank did not implement proper fraud risk velocity checks on UPI transfers. The bank is directed to restore the debited amount of Rs. 59,309 to the complainant's account.",Bank_07,Allowed
CMS_2026_039,Loan Recovery Harassment,"Even after I settled my personal loan account in full and obtained a No Dues Certificate from Bank_07, recovery agents visited my office on 03-March-2026 demanding further payments of Rs. 227,584 as pending interest.",Mr. Rajesh Malhotra,OFF_105,"The settlement payment was defaulted on, resulting in the cancellation of the settlement agreement. The bank's recovery actions are legally valid. Complaint dismissed.",Bank_07,Dismissed
CMS_2026_040,Unauthorized Electronic Transaction,"I noticed unauthorized online transactions amounting to Rs. 230,910 from my savings account on 09-February-2026. I immediately blocked my card and registered a complaint with the bank, but they refused to refund the amount, claiming customer negligence in safeguarding details. I did not share any OTP or password.",Ms. Fatima Sheikh,OFF_104,"The Ombudsman observed that the customer reported the unauthorized transactions within 24 hours of occurrence. As per RBI guidelines on limited liability of customers, the bank is directed to reverse the charges of Rs. 230,910 and restore the balance. No additional compensation is awarded.",Bank_06,Allowed
CMS_2026_041,Loan Recovery Harassment,"Even after I settled my personal loan account in full and obtained a No Dues Certificate from Bank_06, recovery agents visited my office on 17-January-2026 demanding further payments of Rs. 159,914 as pending interest.",Ms. Fatima Sheikh,OFF_104,"The bank failed to update its system post-settlement. The bank is directed to immediately cease recovery efforts, issue a formal apology letter, and pay Rs. 15,000 for reputational damage.",Bank_06,Allowed
CMS_2026_042,Unauthorized Electronic Transaction,"My debit card was cloned and cash amounting to Rs. 181,055 was withdrawn at an ATM on 24-February-2026 while the card was in my physical possession. I immediately reported it, but the bank claims the card PIN was used and therefore they are not liable.",Mr. Rajesh Malhotra,OFF_105,The bank provided evidence that the transactions were validated with chip-and-PIN technology. The customer failed to establish that the compromise occurred due to bank's negligence. Complaint dismissed.,Bank_01,Dismissed
CMS_2026_043,Unauthorized Electronic Transaction,"My debit card was cloned and cash amounting to Rs. 236,941 was withdrawn at an ATM on 10-May-2026 while the card was in my physical possession. I immediately reported it, but the bank claims the card PIN was used and therefore they are not liable.",Mr. David D'Souza,OFF_103,"The Ombudsman noted that the ATM video footage showed a third party using a cloned card, and the customer reported within 2 days. The bank is directed to credit back Rs. 236,941 to the customer's account.",Bank_06,Allowed
CMS_2026_044,Pension & Account Maintenance Issues,"My savings account was frozen by Bank_09 on 13-February-2026 without any prior notice. I cannot withdraw money for my basic needs. The bank manager says they are checking KYC, but I submitted all documents last month.",Mr. Suresh Kumar,OFF_101,"The customer had submitted valid KYC documents prior to the freeze. The bank froze the account without 30 days notice. The bank is directed to unfreeze the account and pay Rs. 5,000 for service deficiency.",Bank_09,Allowed
CMS_2026_045,Loan Recovery Harassment,"Even after I settled my personal loan account in full and obtained a No Dues Certificate from Bank_05, recovery agents visited my office on 19-May-2026 demanding further payments of Rs. 206,981 as pending interest.",Ms. Ananya Rao,OFF_102,"The bank failed to update its system post-settlement. The bank is directed to immediately cease recovery efforts, issue a formal apology letter, and pay Rs. 15,000 for reputational damage.",Bank_05,Allowed
CMS_2026_046,Pension & Account Maintenance Issues,"The bank charged me Rs. 45,483 as penalty for non-maintenance of minimum balance on 22-January-2026, but they never sent me an alert or warning SMS that my balance had dropped below the threshold.",Ms. Ananya Rao,OFF_102,The bank provided log records showing that three SMS warnings were sent to the customer's registered number over a period of 30 days prior to charging the penalty. Complaint dismissed.,Bank_09,Dismissed
CMS_2026_047,Loan Recovery Harassment,"My loan EMI was delayed by two weeks due to a medical emergency. The bank's recovery agents are calling me at 11 PM, sending abusive messages on WhatsApp, and harassing my family members, violating RBI recovery agent guidelines.",Mr. Suresh Kumar,OFF_101,The bank provided call logs proving calls were made during standard hours (8 AM to 7 PM). No evidence of abusive language. Complaint dismissed.,Bank_05,Dismissed
CMS_2026_048,Credit Card Overcharging,"My credit card bill dated 07-April-2026 shows a charge of Rs. 151,908 for a transaction I never made. I reported the dispute, but the bank has charged me interest and late payment fees on this disputed amount.",Mr. Suresh Kumar,OFF_101,The bank provided transaction logs confirming the transaction was authenticated by the customer using OTP and 3D Secure. The dispute is invalid. Complaint dismissed.,Bank_08,Dismissed
CMS_2026_049,Mis-selling of Financial Products,"I went to Bank_02 to renew my Fixed Deposit of Rs. 211,792 for 6 years. The executive tricked me into signing a policy document, claiming it was a tax-saving FD. Later, I realized it is a ULIP with an annual premium obligation of Rs. 211,792. I want my premium refunded.",Ms. Fatima Sheikh,OFF_104,"Evidence shows the customer is a senior citizen and the product sold is highly unsuitable. The bank is directed to cancel the policy and refund the premium of Rs. 211,792 in full without any surrender charges.",Bank_02,Allowed
CMS_2026_050,Pension & Account Maintenance Issues,"My savings account was frozen by Bank_09 on 15-May-2026 without any prior notice. I cannot withdraw money for my basic needs. The bank manager says they are checking KYC, but I submitted all documents last month.",Ms. Ananya Rao,OFF_102,"The customer had submitted valid KYC documents prior to the freeze. The bank froze the account without 30 days notice. The bank is directed to unfreeze the account and pay Rs. 5,000 for service deficiency.",Bank_09,Allowed
CMS_2026_051,Credit Card Overcharging,"The bank charged me a late fee of Rs. 198,073 and high interest charges on 08-March-2026, even though I paid the total amount due on the due date. The payment was processed late by the bank's own gateway.",Ms. Fatima Sheikh,OFF_104,"The complainant initiated payment before the cutoff time on the due date. The gateway delay is the bank's responsibility. The bank is directed to refund all late fees and interest of Rs. 198,073.",Bank_08,Allowed
CMS_2026_052,Mis-selling of Financial Products,"The bank relationship manager forced me to buy a credit life insurance policy of Rs. 89,040 as a condition for approving my home loan on 11-May-2026. They said the loan would not be sanctioned without it. This is tied-selling and against RBI rules.",Ms. Ananya Rao,OFF_102,"Tied-selling of insurance is prohibited under RBI guidelines. The bank is directed to refund the premium of Rs. 89,040 and decouple the insurance from the loan.",Bank_02,Allowed
CMS_2026_053,Unauthorized Electronic Transaction,"On 11-May-2026, Rs. 107,849 was debited from my account through UPI. I did not initiate this payment. The UPI ID of the recipient is unknown to me. The bank is refusing to credit back the amount, saying the transaction was authenticated by my PIN.",Ms. Fatima Sheikh,OFF_104,The transaction was verified to be a person-to-person transfer initiated from the complainant's device with correct UPI PIN. No security breach detected on bank's systems. Complaint dismissed.,Bank_04,Dismissed
CMS_2026_054,Unauthorized Electronic Transaction,"My debit card was cloned and cash amounting to Rs. 100,714 was withdrawn at an ATM on 16-January-2026 while the card was in my physical possession. I immediately reported it, but the bank claims the card PIN was used and therefore they are not liable.",Ms. Fatima Sheikh,OFF_104,The bank provided evidence that the transactions were validated with chip-and-PIN technology. The customer failed to establish that the compromise occurred due to bank's negligence. Complaint dismissed.,Bank_10,Dismissed
CMS_2026_055,Pension & Account Maintenance Issues,"The bank charged me Rs. 236,355 as penalty for non-maintenance of minimum balance on 08-April-2026, but they never sent me an alert or warning SMS that my balance had dropped below the threshold.",Mr. David D'Souza,OFF_103,"As per RBI regulations, banks must notify customers before levying charges for minimum balance non-maintenance. The bank is ordered to refund the penalty of Rs. 236,355.",Bank_09,Allowed
CMS_2026_056,Mis-selling of Financial Products,"The bank relationship manager forced me to buy a credit life insurance policy of Rs. 242,052 as a condition for approving my home loan on 05-May-2026. They said the loan would not be sanctioned without it. This is tied-selling and against RBI rules.",Mr. Suresh Kumar,OFF_101,The customer signed a separate consent form opting for the insurance coverage. No proof of coercion is found. Complaint dismissed.,Bank_07,Dismissed
CMS_2026_057,Mis-selling of Financial Products,"The bank relationship manager forced me to buy a credit life insurance policy of Rs. 48,639 as a condition for approving my home loan on 02-March-2026. They said the loan would not be sanctioned without it. This is tied-selling and against RBI rules.",Ms. Fatima Sheikh,OFF_104,"Tied-selling of insurance is prohibited under RBI guidelines. The bank is directed to refund the premium of Rs. 48,639 and decouple the insurance from the loan.",Bank_02,Allowed
CMS_2026_058,Credit Card Overcharging,"The bank charged me a late fee of Rs. 219,866 and high interest charges on 03-April-2026, even though I paid the total amount due on the due date. The payment was processed late by the bank's own gateway.",Mr. Suresh Kumar,OFF_101,"The complainant initiated payment before the cutoff time on the due date. The gateway delay is the bank's responsibility. The bank is directed to refund all late fees and interest of Rs. 219,866.",Bank_05,Allowed
CMS_2026_059,Mis-selling of Financial Products,"I went to Bank_01 to renew my Fixed Deposit of Rs. 220,998 for 5 years. The executive tricked me into signing a policy document, claiming it was a tax-saving FD. Later, I realized it is a ULIP with an annual premium obligation of Rs. 220,998. I want my premium refunded.",Mr. Rajesh Malhotra,OFF_105,The bank submitted the signed key feature document indicating the customer consented to the insurance plan. No evidence of misrepresentation. Complaint dismissed.,Bank_01,Dismissed
CMS_2026_060,Credit Card Overcharging,"My credit card bill dated 25-March-2026 shows a charge of Rs. 68,172 for a transaction I never made. I reported the dispute, but the bank has charged me interest and late payment fees on this disputed amount.",Mr. Suresh Kumar,OFF_101,The bank provided transaction logs confirming the transaction was authenticated by the customer using OTP and 3D Secure. The dispute is invalid. Complaint dismissed.,Bank_04,Dismissed
CMS_2026_061,Unauthorized Electronic Transaction,"On 22-April-2026, Rs. 151,941 was debited from my account through UPI. I did not initiate this payment. The UPI ID of the recipient is unknown to me. The bank is refusing to credit back the amount, saying the transaction was authenticated by my PIN.",Ms. Ananya Rao,OFF_102,The transaction was verified to be a person-to-person transfer initiated from the complainant's device with correct UPI PIN. No security breach detected on bank's systems. Complaint dismissed.,Bank_10,Dismissed
CMS_2026_062,Loan Recovery Harassment,"The recovery team of the bank seized my vehicle on 26-January-2026 without giving the mandatory 14 days pre-possession notice. They also demanded Rs. 158,394 as recovery charges to release the vehicle.",Mr. David D'Souza,OFF_103,"The repossession was done without following due process and without adequate notice. The bank is directed to return the vehicle, waive the recovery charges of Rs. 158,394, and pay Rs. 20,000 as compensation.",Bank_02,Allowed
CMS_2026_063,Credit Card Overcharging,"The bank charged me a late fee of Rs. 4,316 and high interest charges on 28-April-2026, even though I paid the total amount due on the due date. The payment was processed late by the bank's own gateway.",Ms. Fatima Sheikh,OFF_104,"The payment was initiated after the banking hours cutoff on the due date, leading to next-day clearance. Late fee is as per terms. Complaint dismissed.",Bank_02,Dismissed
CMS_2026_064,Mis-selling of Financial Products,"I was sold a high-risk mutual fund with a lump sum investment of Rs. 137,772 by the bank relationship manager, who promised guaranteed returns of 15% per annum. The portfolio value has dropped, and I have lost my principal. This is mis-selling.",Mr. Rajesh Malhotra,OFF_105,"The bank staff made misleading statements regarding returns. The bank is ordered to refund the principal amount of Rs. 137,772 less current portfolio value, and pay Rs. 5,000 for service deficiency.",Bank_03,Allowed
CMS_2026_065,Loan Recovery Harassment,"My loan EMI was delayed by two weeks due to a medical emergency. The bank's recovery agents are calling me at 11 PM, sending abusive messages on WhatsApp, and harassing my family members, violating RBI recovery agent guidelines.",Ms. Fatima Sheikh,OFF_104,The bank provided call logs proving calls were made during standard hours (8 AM to 7 PM). No evidence of abusive language. Complaint dismissed.,Bank_05,Dismissed
CMS_2026_066,Unauthorized Electronic Transaction,"On 11-February-2026, Rs. 224,072 was debited from my account through UPI. I did not initiate this payment. The UPI ID of the recipient is unknown to me. The bank is refusing to credit back the amount, saying the transaction was authenticated by my PIN.",Mr. Rajesh Malhotra,OFF_105,"The bank did not implement proper fraud risk velocity checks on UPI transfers. The bank is directed to restore the debited amount of Rs. 224,072 to the complainant's account.",Bank_06,Allowed
CMS_2026_067,Loan Recovery Harassment,"The recovery team of the bank seized my vehicle on 07-January-2026 without giving the mandatory 14 days pre-possession notice. They also demanded Rs. 249,528 as recovery charges to release the vehicle.",Ms. Ananya Rao,OFF_102,The bank proved that multiple notices were sent to the customer's registered address. The repossession was carried out legally under the loan agreement terms. Complaint dismissed.,Bank_05,Dismissed
CMS_2026_068,Credit Card Overcharging,"The bank charged me a late fee of Rs. 208,862 and high interest charges on 01-January-2026, even though I paid the total amount due on the due date. The payment was processed late by the bank's own gateway.",Mr. Rajesh Malhotra,OFF_105,"The complainant initiated payment before the cutoff time on the due date. The gateway delay is the bank's responsibility. The bank is directed to refund all late fees and interest of Rs. 208,862.",Bank_08,Allowed
CMS_2026_069,Credit Card Overcharging,"My credit card bill dated 12-April-2026 shows a charge of Rs. 140,177 for a transaction I never made. I reported the dispute, but the bank has charged me interest and late payment fees on this disputed amount.",Mr. David D'Souza,OFF_103,The bank provided transaction logs confirming the transaction was authenticated by the customer using OTP and 3D Secure. The dispute is invalid. Complaint dismissed.,Bank_06,Dismissed
CMS_2026_070,Loan Recovery Harassment,"My loan EMI was delayed by two weeks due to a medical emergency. The bank's recovery agents are calling me at 11 PM, sending abusive messages on WhatsApp, and harassing my family members, violating RBI recovery agent guidelines.",Ms. Fatima Sheikh,OFF_104,"The bank's recovery agents violated RBI guidelines on calling hours and harassment. The bank is directed to pay Rs. 8,276 to the complainant as compensation and issue a warning to the collection agency.",Bank_05,Allowed
CMS_2026_071,Pension & Account Maintenance Issues,"The bank charged me Rs. 75,186 as penalty for non-maintenance of minimum balance on 04-February-2026, but they never sent me an alert or warning SMS that my balance had dropped below the threshold.",Mr. Rajesh Malhotra,OFF_105,"As per RBI regulations, banks must notify customers before levying charges for minimum balance non-maintenance. The bank is ordered to refund the penalty of Rs. 75,186.",Bank_05,Allowed
